,Course,Education Level,Institutions,Year,GE (%)
2102,IJAZAH SARJANA MUDA SAINS (MATEMATIK) DENGAN PENDIDIKAN,Ijazah pertama,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,92.7
2103,IJAZAH SARJANA MUDA SAINS SOSIAL DENGAN KEPUJIAN (ANTROPOLOGI DAN SOSIOLOGI),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,92.7
2104,SARJANA SAINS,Sarjana,UNIVERSITI MALAYSIA SARAWAK,2022,92.7
2105,DIPLOMA EKSEKUTIF PENGURUSAN (PERNIAGAAN),Diploma,UNIVERSITI MALAYA,2022,92.6
2106,IJAZAH SARJANA MUDA SAINS KOMPUTER DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI KEBANGSAAN MALAYSIA,2022,92.6
2107,IJAZAH SARJANA MUDA SENI BINA LANDSKAP (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,92.6
2108,IJAZAH SARJANA MUDA TEKNOLOGI KEJURUTERAAN MEKANIKAL (PEMBUATAN) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI TUN HUSSEIN ONN MALAYSIA,2022,92.6
2109,SARJANA MUDA KEJURUTERAAN KIMIA (PERSEKITARAN) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.6
2110,SARJANA MUDA KOMUNIKASI MASSA (KEPUJIAN) PERHUBUNGAN AWAM,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.6
2111,SARJANA SAINS (KEJURUTERAAN REKABENTUK SISTEM ELEKTRONIK),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,92.6
2112,DIPLOMA KIMIA PERINDUSTRIAN,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,92.5
2113,IJAZAH SARJANA MUDA PENGURUSAN SUMBER MANUSIA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI UTARA MALAYSIA,2022,92.5
2114,IJAZAH SARJANA MUDA SAINS EKONOMI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI UTARA MALAYSIA,2022,92.5
2115,SARJANA MUDA KEJURUTERAAN (KEPUJIAN) AWAM (INFRASTRUKTUR),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.5
2116,IJAZAH SARJANA MUDA PENGURUSAN HARTA TANAH DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI TUN HUSSEIN ONN MALAYSIA,2022,92.4
2117,SARJANA MUDA KEJURUTERAAN MEKANIKAL (PEMBUATAN) (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.4
2118,IJAZAH SARJANA MUDA PERAKAUNAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI KEBANGSAAN MALAYSIA,2022,92.3
2119,SARJANA MUDA EKONOMI,Ijazah pertama,UNIVERSITI MALAYA,2022,92.3
2120,SARJANA MUDA PERNIAGAAN MUZIK (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.3
2121,SARJANA MUDA SAINS (KEPUJIAN) PENGURUSAN BIODIVERSITI,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.3
2122,SARJANA MUDA SAINS AGROTEKNOLOGI (KEPUJIAN) AGRONOMI,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.3
2123,SARJANA MUDA UKUR BANGUNAN,Ijazah pertama,UNIVERSITI MALAYA,2022,92.3
2124,SARJANA PENGADILAN JENAYAH,Sarjana,UNIVERSITI MALAYA,2022,92.3
2125,SARJANA PENGURUSAN PENDIDIKAN,Sarjana,UNIVERSITI MALAYA,2022,92.3
2126,SARJANA SAINS (SAINS DATA DAN ANALITIK),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,92.3
2127,SARJANA SAINS PENGURUSAN SISTEM MAKLUMAT,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,92.3
2128,SARJANA SASTERA (HADITH),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,92.3
2129,DIPLOMA SENI LUKIS DAN SENI REKA (SENI REKA TEKSTIL),Diploma,UNIVERSITI TEKNOLOGI MARA,2022,92.2
2130,IJAZAH SARJANA MUDA PEMBEDAHAN PERGIGIAN,Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,92.2
2131,SARJANA MUDA SENI GUNAAN DENGAN KEPUJIAN (TEKNOLOGI SENI REKA),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,92.2
2132,SARJANA MUDA UKUR BAHAN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,92.2
2133,DIPLOMA SENIBINA LANDSKAP,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,92.1
2134,IJAZAH SARJANA MUDA PENGAJIAN QURAN DAN SUNNAH DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI SAINS ISLAM MALAYSIA,2022,92.1
2135,IJAZAH SARJANA MUDA SAINS KOMPUTER (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,92.1
